timestamp,heart_rate,confidence
2024-01-15 10:00:00,72,0.95
2024-01-15 10:01:00,75,0.92
2024-01-15 10:02:00,78,0.89
2024-01-15 10:03:00,82,0.91
2024-01-15 10:04:00,85,0.88
2024-01-15 10:05:00,88,0.90
2024-01-15 10:06:00,92,0.87
2024-01-15 10:07:00,95,0.89
2024-01-15 10:08:00,98,0.86
2024-01-15 10:09:00,102,0.88
2024-01-15 10:10:00,105,0.85
2024-01-15 10:11:00,108,0.87
2024-01-15 10:12:00,112,0.84
2024-01-15 10:13:00,115,0.86
2024-01-15 10:14:00,118,0.83
2024-01-15 10:15:00,120,0.85
2024-01-15 10:16:00,118,0.86
2024-01-15 10:17:00,115,0.87
2024-01-15 10:18:00,112,0.88
2024-01-15 10:19:00,108,0.89
2024-01-15 10:20:00,105,0.90
2024-01-15 10:21:00,102,0.91
2024-01-15 10:22:00,98,0.92
2024-01-15 10:23:00,95,0.93
2024-01-15 10:24:00,92,0.94
2024-01-15 10:25:00,88,0.95
2024-01-15 10:26:00,85,0.96
2024-01-15 10:27:00,82,0.97
2024-01-15 10:28:00,78,0.98
2024-01-15 10:29:00,75,0.99
2024-01-15 10:30:00,72,1.00
