SampleType,SampleRate,StartTime,Data
HEART_RATE,1.0,2025-08-09T23:18:17.000Z,56;56;58;53;59;57;61;47;53;61
HEART_RATE,1.0,2025-08-09T23:18:27.000Z,60;58;57;57;53;52;53;59;61;60
HEART_RATE,1.0,2025-08-09T23:18:37.000Z,58;57;62;61;57;61;55;55;60;54
HEART_RATE,1.0,2025-08-09T23:18:47.000Z,55;58;55;53;56;54;58;63;59;61
HEART_RATE,1.0,2025-08-09T23:18:57.000Z,54;59;52;54;56;60;61;61;53;55
HEART_RATE,1.0,2025-08-09T23:19:07.000Z,57;56;64;56;53;53;62;60;48;56
HEART_RATE,1.0,2025-08-09T23:19:17.000Z,55;54;65;63;52;60;57;54;58;64
HEART_RATE,1.0,2025-08-09T23:19:27.000Z,64;59;64;58;56;61;61;59;59;58
HEART_RATE,1.0,2025-08-09T23:19:37.000Z,59;55;60;58;58;52;59;58;56;62
HEART_RATE,1.0,2025-08-09T23:19:47.000Z,56;53;56;57;60;58;56;58;61;60
HEART_RATE,1.0,2025-08-09T23:19:57.000Z,55;54;54;65;56;59;60;50;58;60
HEART_RATE,1.0,2025-08-09T23:20:07.000Z,57;63;56;56;56;61;59;58;57;60
HEART_RATE,1.0,2025-08-09T23:20:17.000Z,56;59;62;55;54;55;52;63;58;58
HEART_RATE,1.0,2025-08-09T23:20:27.000Z,57;55;59;56;59;61;56;58;59;62
HEART_RATE,1.0,2025-08-09T23:20:37.000Z,53;54;60;45;57;60;58;51;55;63
HEART_RATE,1.0,2025-08-09T23:20:47.000Z,53;56;50;64;62;55;55;57;65;52
HEART_RATE,1.0,2025-08-09T23:20:57.000Z,53;55;58;55;57;59;48;59;57;56
HEART_RATE,1.0,2025-08-09T23:21:07.000Z,59;54;59;53;55;59;60;57;62;61
HEART_RATE,1.0,2025-08-09T23:21:17.000Z,58;57;60;57;56;56;57;55;57;67
HEART_RATE,1.0,2025-08-09T23:21:27.000Z,57;57;57;61;55;58;52;54;57;64
HEART_RATE,1.0,2025-08-09T23:21:37.000Z,55;54;52;55;58;64;52;59;56;58
HEART_RATE,1.0,2025-08-09T23:21:47.000Z,54;55;56;53;60;56;59;52;54;60
HEART_RATE,1.0,2025-08-09T23:21:57.000Z,52;61;57;62;56;49;60;62;53;61
HEART_RATE,1.0,2025-08-09T23:22:07.000Z,62;57;55;58;60;59;54;58;53;58
HEART_RATE,1.0,2025-08-09T23:22:17.000Z,52;53;59;54;53;59;64;56;56;53
HEART_RATE,1.0,2025-08-09T23:22:27.000Z,58;59;59;58;53;57;58;63;58;61
HEART_RATE,1.0,2025-08-09T23:22:37.000Z,57;57;55;57;59;60;57;61;62;57
HEART_RATE,1.0,2025-08-09T23:22:47.000Z,59;51;63;50;55;52;60;57;57;55
HEART_RATE,1.0,2025-08-09T23:22:57.000Z,63;55;59;60;56;56;60;59;60;56
HEART_RATE,1.0,2025-08-09T23:23:07.000Z,51;54;56;57;59;58;67;62;53;59
HEART_RATE,1.0,2025-08-09T23:23:17.000Z,58;52;62;53;60;60;55;56;62;61
HEART_RATE,1.0,2025-08-09T23:23:27.000Z,59;61;55;63;55;63;58;58;63;57
HEART_RATE,1.0,2025-08-09T23:23:37.000Z,58;61;55;61;57;62;61;57;62;62
HEART_RATE,1.0,2025-08-09T23:23:47.000Z,58;59;59;54;67;62;59;54;58;58
HEART_RATE,1.0,2025-08-09T23:23:57.000Z,61;56;56;62;61;56;56;63;56;57
HEART_RATE,1.0,2025-08-09T23:24:07.000Z,61;57;59;53;63;59;53;54;56;55
HEART_RATE,1.0,2025-08-09T23:24:17.000Z,58;56;63;59;60;59;60;57;51;52
HEART_RATE,1.0,2025-08-09T23:24:27.000Z,61;55;59;61;56;60;55;54;59;56
HEART_RATE,1.0,2025-08-09T23:24:37.000Z,58;64;55;56;56;57;54;56;59;67
HEART_RATE,1.0,2025-08-09T23:24:47.000Z,54;62;61;58;62;61;57;62;59;58
HEART_RATE,1.0,2025-08-09T23:24:57.000Z,57;57;60;51;62;51;65;55;60;60
HEART_RATE,1.0,2025-08-09T23:25:07.000Z,53;60;66;54;53;60;62;60;53;53
HEART_RATE,1.0,2025-08-09T23:25:17.000Z,59;60;57;59;57;60;54;58;58;52
HEART_RATE,1.0,2025-08-09T23:25:27.000Z,56;59;57;60;56;52;61;59;64;58
HEART_RATE,1.0,2025-08-09T23:25:37.000Z,63;57;57;60;53;56;56;52;56;56
HEART_RATE,1.0,2025-08-09T23:25:47.000Z,56;58;55;68;61;57;54;61;60;54
HEART_RATE,1.0,2025-08-09T23:25:57.000Z,60;56;61;60;57;51;61;60;58;64
HEART_RATE,1.0,2025-08-09T23:26:07.000Z,52;61;50;53;57;54;59;59;56;56
HEART_RATE,1.0,2025-08-09T23:26:17.000Z,62;53;53;58;58;63;60;62;57;58
HEART_RATE,1.0,2025-08-09T23:26:27.000Z,57;55;57;61;59;63;62;60;53;58
HEART_RATE,1.0,2025-08-09T23:26:37.000Z,54;57;57;61;54;59;60;58;59;54
