SampleType,SampleRate,StartTime,Data
HEART_RATE,1.0,2025-08-09T15:18:17.000Z,80;110;73;90;98;74;93;76;93;57
HEART_RATE,1.0,2025-08-09T15:18:27.000Z,104;70;74;98;85;82;89;78;80;96
HEART_RATE,1.0,2025-08-09T15:18:37.000Z,113;62;77;65;73;98;106;101;77;89
HEART_RATE,1.0,2025-08-09T15:18:47.000Z,101;121;78;116;91;106;73;110;55;75
HEART_RATE,1.0,2025-08-09T15:18:57.000Z,79;82;94;92;80;116;93;78;88;79
HEART_RATE,1.0,2025-08-09T15:19:07.000Z,93;86;123;90;81;101;57;82;85;79
HEART_RATE,1.0,2025-08-09T15:19:17.000Z,96;92;113;64;99;73;67;85;108;67
HEART_RATE,1.0,2025-08-09T15:19:27.000Z,65;66;97;95;79;127;98;87;95;73
HEART_RATE,1.0,2025-08-09T15:19:37.000Z,88;76;75;85;84;104;81;82;106;106
HEART_RATE,1.0,2025-08-09T15:19:47.000Z,95;79;49;68;77;73;75;94;102;108
HEART_RATE,1.0,2025-08-09T15:19:57.000Z,63;79;69;85;84;101;94;97;87;91
HEART_RATE,1.0,2025-08-09T15:20:07.000Z,95;77;102;64;76;91;87;101;63;78
HEART_RATE,1.0,2025-08-09T15:20:17.000Z,99;92;74;83;103;81;64;90;104;85
HEART_RATE,1.0,2025-08-09T15:20:27.000Z,94;81;85;86;83;100;41;102;64;69
HEART_RATE,1.0,2025-08-09T15:20:37.000Z,100;71;97;99;109;65;85;110;96;68
HEART_RATE,1.0,2025-08-09T15:20:47.000Z,88;115;64;88;101;94;96;86;89;68
HEART_RATE,1.0,2025-08-09T15:20:57.000Z,121;59;117;108;83;81;106;72;51;92
HEART_RATE,1.0,2025-08-09T15:21:07.000Z,109;122;78;89;118;63;78;95;92;84
HEART_RATE,1.0,2025-08-09T15:21:17.000Z,59;97;97;106;94;104;81;97;70;96
HEART_RATE,1.0,2025-08-09T15:21:27.000Z,76;94;101;137;47;91;95;111;65;65
HEART_RATE,1.0,2025-08-09T15:21:37.000Z,91;83;78;74;90;97;70;79;90;74
HEART_RATE,1.0,2025-08-09T15:21:47.000Z,87;87;109;106;84;93;73;96;147;65
HEART_RATE,1.0,2025-08-09T15:21:57.000Z,92;116;77;76;80;92;118;130;68;78
HEART_RATE,1.0,2025-08-09T15:22:07.000Z,94;57;84;98;69;122;57;128;62;102
HEART_RATE,1.0,2025-08-09T15:22:17.000Z,71;101;86;108;81;72;94;97;101;94
HEART_RATE,1.0,2025-08-09T15:22:27.000Z,79;65;102;78;97;101;72;79;75;78
HEART_RATE,1.0,2025-08-09T15:22:37.000Z,87;77;65;97;54;90;98;93;74;64
HEART_RATE,1.0,2025-08-09T15:22:47.000Z,98;71;118;66;60;72;82;98;103;91
HEART_RATE,1.0,2025-08-09T15:22:57.000Z,95;111;77;97;69;81;58;91;83;109
HEART_RATE,1.0,2025-08-09T15:23:07.000Z,91;96;131;84;83;53;90;86;79;95
HEART_RATE,1.0,2025-08-09T15:23:17.000Z,78;102;60;69;81;80;77;93;88;93
HEART_RATE,1.0,2025-08-09T15:23:27.000Z,63;99;103;109;101;101;103;87;107;104
HEART_RATE,1.0,2025-08-09T15:23:37.000Z,75;91;82;70;56;106;91;86;120;79
HEART_RATE,1.0,2025-08-09T15:23:47.000Z,93;112;72;114;119;68;92;91;76;102
HEART_RATE,1.0,2025-08-09T15:23:57.000Z,83;65;76;87;72;71;109;85;64;78
HEART_RATE,1.0,2025-08-09T15:24:07.000Z,83;106;84;94;76;107;77;53;94;69
HEART_RATE,1.0,2025-08-09T15:24:17.000Z,96;125;114;98;119;92;90;78;46;102
HEART_RATE,1.0,2025-08-09T15:24:27.000Z,60;75;92;120;97;102;77;61;103;99
HEART_RATE,1.0,2025-08-09T15:24:37.000Z,69;98;122;107;97;75;95;97;108;79
HEART_RATE,1.0,2025-08-09T15:24:47.000Z,71;69;106;82;89;72;84;76;89;72
HEART_RATE,1.0,2025-08-09T15:24:57.000Z,86;73;106;92;85;81;100;85;82;49
HEART_RATE,1.0,2025-08-09T15:25:07.000Z,90;90;107;89;88;96;96;105;106;101
HEART_RATE,1.0,2025-08-09T15:25:17.000Z,104;75;84;60;69;72;111;100;116;117
HEART_RATE,1.0,2025-08-09T15:25:27.000Z,77;97;99;82;100;76;85;66;89;103
HEART_RATE,1.0,2025-08-09T15:25:37.000Z,63;110;62;95;96;74;91;104;87;96
HEART_RATE,1.0,2025-08-09T15:25:47.000Z,110;82;97;84;79;85;99;111;119;82
HEART_RATE,1.0,2025-08-09T15:25:57.000Z,92;108;92;49;86;117;45;98;59;86
HEART_RATE,1.0,2025-08-09T15:26:07.000Z,117;85;101;124;88;105;106;87;83;76
HEART_RATE,1.0,2025-08-09T15:26:17.000Z,98;103;99;85;69;76;88;54;92;80
HEART_RATE,1.0,2025-08-09T15:26:27.000Z,90;72;106;84;116;103;88;83;82;76
HEART_RATE,1.0,2025-08-09T15:26:37.000Z,76;69;113;94;114;107;98;88;73;92
HEART_RATE,1.0,2025-08-09T15:26:47.000Z,62;92;76;78;90;91;99;79;97;78
HEART_RATE,1.0,2025-08-09T15:26:57.000Z,99;78;106;84;112;87;92;66;65;84
HEART_RATE,1.0,2025-08-09T15:27:07.000Z,74;87;91;85;98;91;80;112;86;80
HEART_RATE,1.0,2025-08-09T15:27:17.000Z,115;98;83;112;103;83;88;121;102;78
HEART_RATE,1.0,2025-08-09T15:27:27.000Z,88;98;73;119;66;61;40;67;79;104
HEART_RATE,1.0,2025-08-09T15:27:37.000Z,99;94;75;92;94;77;109;86;110;72
HEART_RATE,1.0,2025-08-09T15:27:47.000Z,100;85;114;111;103;76;130;102;109;80
HEART_RATE,1.0,2025-08-09T15:27:57.000Z,95;76;90;78;108;101;63;99;88;75
HEART_RATE,1.0,2025-08-09T15:28:07.000Z,92;89;70;81;53;72;55;85;86;86
HEART_RATE,1.0,2025-08-09T15:28:17.000Z,101;86;79;81;90;109;43;86;102;74
HEART_RATE,1.0,2025-08-09T15:28:27.000Z,106;123;84;68;105;86;81;94;68;118
HEART_RATE,1.0,2025-08-09T15:28:37.000Z,108;79;85;64;79;106;104;92;102;91
HEART_RATE,1.0,2025-08-09T15:28:47.000Z,83;119;109;80;99;113;95;94;79;83
HEART_RATE,1.0,2025-08-09T15:28:57.000Z,89;73;94;84;97;110;124;100;86;65
HEART_RATE,1.0,2025-08-09T15:29:07.000Z,72;79;65;115;117;65;62;83;83;68
HEART_RATE,1.0,2025-08-09T15:29:17.000Z,94;97;101;83;83;103;71;87;98;84
HEART_RATE,1.0,2025-08-09T15:29:27.000Z,107;77;90;81;69;75;102;94;69;69
HEART_RATE,1.0,2025-08-09T15:29:37.000Z,69;82;98;82;67;79;81;108;96;56
HEART_RATE,1.0,2025-08-09T15:29:47.000Z,87;85;97;82;81;85;67;114;105;100
HEART_RATE,1.0,2025-08-09T15:29:57.000Z,59;76;87;96;82;83;78;72;86;71
HEART_RATE,1.0,2025-08-09T15:30:07.000Z,98;87;101;56;83;90;94;98;91;70
HEART_RATE,1.0,2025-08-09T15:30:17.000Z,111;66;137;138;107;116;135;118;139;138
HEART_RATE,1.0,2025-08-09T15:30:27.000Z,115;105;160;132;110;159;155;122;126;127
HEART_RATE,1.0,2025-08-09T15:30:37.000Z,74;115;115;159;163;150;132;169;121;169
HEART_RATE,1.0,2025-08-09T15:30:47.000Z,97;153;111;133;140;106;118;110;100;119
HEART_RATE,1.0,2025-08-09T15:30:57.000Z,186;93;152;135;142;130;166;126;134;123
HEART_RATE,1.0,2025-08-09T15:31:07.000Z,120;157;131;142;141;109;124;109;111;138
HEART_RATE,1.0,2025-08-09T15:31:17.000Z,127;133;107;104;124;111;104;122;168;147
HEART_RATE,1.0,2025-08-09T15:31:27.000Z,127;106;132;149;108;154;111;125;122;116
HEART_RATE,1.0,2025-08-09T15:31:37.000Z,169;145;126;153;114;152;141;107;100;123
HEART_RATE,1.0,2025-08-09T15:31:47.000Z,145;147;136;81;128;122;125;100;145;113
HEART_RATE,1.0,2025-08-09T15:31:57.000Z,153;134;135;122;145;130;130;161;101;161
HEART_RATE,1.0,2025-08-09T15:32:07.000Z,116;129;126;126;112;151;140;135;114;144
HEART_RATE,1.0,2025-08-09T15:32:17.000Z,103;120;151;96;141;108;165;132;88;162
HEART_RATE,1.0,2025-08-09T15:32:27.000Z,120;131;108;184;154;112;142;112;140;128
HEART_RATE,1.0,2025-08-09T15:32:37.000Z,74;159;98;103;154;111;138;152;145;176
HEART_RATE,1.0,2025-08-09T15:32:47.000Z,121;161;165;122;163;161;104;130;102;134
HEART_RATE,1.0,2025-08-09T15:32:57.000Z,113;130;112;116;95;182;144;146;122;143
HEART_RATE,1.0,2025-08-09T15:33:07.000Z,182;142;141;123;135;160;135;126;111;93
HEART_RATE,1.0,2025-08-09T15:33:17.000Z,125;109;123;183;151;101;171;161;148;128
HEART_RATE,1.0,2025-08-09T15:33:27.000Z,150;79;127;133;128;124;160;145;151;142
HEART_RATE,1.0,2025-08-09T15:33:37.000Z,183;145;131;120;162;104;112;141;137;162
HEART_RATE,1.0,2025-08-09T15:33:47.000Z,132;150;150;104;136;132;138;116;105;145
HEART_RATE,1.0,2025-08-09T15:33:57.000Z,131;133;97;134;121;165;131;172;153;134
HEART_RATE,1.0,2025-08-09T15:34:07.000Z,127;152;138;116;167;182;170;128;144;66
HEART_RATE,1.0,2025-08-09T15:34:17.000Z,125;136;136;129;122;162;138;126;133;71
HEART_RATE,1.0,2025-08-09T15:34:27.000Z,151;115;137;92;129;143;133;103;138;124
HEART_RATE,1.0,2025-08-09T15:34:37.000Z,157;111;119;83;111;139;153;143;136;140
HEART_RATE,1.0,2025-08-09T15:34:47.000Z,160;138;156;151;186;138;129;137;151;142
HEART_RATE,1.0,2025-08-09T15:34:57.000Z,127;164;142;152;110;150;144;147;133;102
HEART_RATE,1.0,2025-08-09T15:35:07.000Z,143;136;123;144;87;151;105;145;138;113
HEART_RATE,1.0,2025-08-09T15:35:17.000Z,154;130;133;146;153;124;141;104;134;153
HEART_RATE,1.0,2025-08-09T15:35:27.000Z,123;147;172;120;107;103;121;174;170;145
HEART_RATE,1.0,2025-08-09T15:35:37.000Z,115;112;125;105;102;170;115;193;149;113
HEART_RATE,1.0,2025-08-09T15:35:47.000Z,149;156;152;127;79;96;92;136;125;96
HEART_RATE,1.0,2025-08-09T15:35:57.000Z,190;120;145;198;137;105;124;151;138;116
HEART_RATE,1.0,2025-08-09T15:36:07.000Z,151;122;142;158;159;162;136;143;163;155
HEART_RATE,1.0,2025-08-09T15:36:17.000Z,110;162;102;111;157;145;112;159;132;105
HEART_RATE,1.0,2025-08-09T15:36:27.000Z,135;111;126;136;127;112;147;131;109;100
HEART_RATE,1.0,2025-08-09T15:36:37.000Z,123;146;144;137;137;139;141;126;116;123
HEART_RATE,1.0,2025-08-09T15:36:47.000Z,148;133;78;131;138;138;139;148;147;126
HEART_RATE,1.0,2025-08-09T15:36:57.000Z,135;132;100;127;160;156;115;178;136;91
HEART_RATE,1.0,2025-08-09T15:37:07.000Z,114;134;139;156;135;196;146;114;122;120
HEART_RATE,1.0,2025-08-09T15:37:17.000Z,98;129;142;98;177;99;136;121;162;128
HEART_RATE,1.0,2025-08-09T15:37:27.000Z,135;123;135;134;183;157;163;140;159;122
HEART_RATE,1.0,2025-08-09T15:37:37.000Z,106;177;139;167;101;126;107;117;118;143
HEART_RATE,1.0,2025-08-09T15:37:47.000Z,105;121;172;172;147;120;95;156;130;146
HEART_RATE,1.0,2025-08-09T15:37:57.000Z,149;119;160;167;143;138;141;125;128;131
HEART_RATE,1.0,2025-08-09T15:38:07.000Z,139;117;120;125;107;131;125;137;143;128
HEART_RATE,1.0,2025-08-09T15:38:17.000Z,119;103;158;134;189;85;142;153;147;160
HEART_RATE,1.0,2025-08-09T15:38:27.000Z,131;157;135;143;127;126;138;107;143;137
HEART_RATE,1.0,2025-08-09T15:38:37.000Z,84;89;148;122;103;149;159;123;144;124
HEART_RATE,1.0,2025-08-09T15:38:47.000Z,122;180;152;160;154;131;162;107;125;146
HEART_RATE,1.0,2025-08-09T15:38:57.000Z,142;88;124;136;131;115;160;127;117;125
HEART_RATE,1.0,2025-08-09T15:39:07.000Z,141;132;143;104;171;151;149;127;130;163
HEART_RATE,1.0,2025-08-09T15:39:17.000Z,121;131;66;116;154;145;110;161;120;140
HEART_RATE,1.0,2025-08-09T15:39:27.000Z,103;122;147;136;175;103;187;133;131;163
HEART_RATE,1.0,2025-08-09T15:39:37.000Z,104;145;130;178;161;128;129;96;150;137
HEART_RATE,1.0,2025-08-09T15:39:47.000Z,169;117;80;129;143;117;144;136;132;121
HEART_RATE,1.0,2025-08-09T15:39:57.000Z,127;139;139;129;134;167;141;101;128;138
HEART_RATE,1.0,2025-08-09T15:40:07.000Z,134;151;108;137;140;121;124;126;154;137
HEART_RATE,1.0,2025-08-09T15:40:17.000Z,165;95;141;141;118;105;146;89;139;119
HEART_RATE,1.0,2025-08-09T15:40:27.000Z,148;111;107;127;83;77;128;148;151;128
HEART_RATE,1.0,2025-08-09T15:40:37.000Z,116;123;147;134;128;99;167;145;141;102
HEART_RATE,1.0,2025-08-09T15:40:47.000Z,134;111;122;140;123;118;141;123;155;118
HEART_RATE,1.0,2025-08-09T15:40:57.000Z,149;119;176;176;157;124;148;132;138;149
HEART_RATE,1.0,2025-08-09T15:41:07.000Z,138;121;117;129;110;136;140;103;145;138
HEART_RATE,1.0,2025-08-09T15:41:17.000Z,105;199;169;98;128;136;131;161;128;101
HEART_RATE,1.0,2025-08-09T15:41:27.000Z,116;153;132;103;113;136;120;167;135;112
HEART_RATE,1.0,2025-08-09T15:41:37.000Z,143;121;104;158;114;136;140;104;147;117
HEART_RATE,1.0,2025-08-09T15:41:47.000Z,130;138;137;166;139;157;121;139;131;98
HEART_RATE,1.0,2025-08-09T15:41:57.000Z,125;134;112;125;131;147;138;146;152;141
HEART_RATE,1.0,2025-08-09T15:42:07.000Z,88;140;157;119;124;84;85;127;153;120
HEART_RATE,1.0,2025-08-09T15:42:17.000Z,109;110;153;66;88;117;125;111;147;130
HEART_RATE,1.0,2025-08-09T15:42:27.000Z,142;129;115;113;121;120;128;144;115;151
HEART_RATE,1.0,2025-08-09T15:42:37.000Z,113;159;119;144;146;116;117;146;138;127
HEART_RATE,1.0,2025-08-09T15:42:47.000Z,148;115;101;159;137;133;162;131;132;119
HEART_RATE,1.0,2025-08-09T15:42:57.000Z,134;87;163;159;140;127;154;136;114;124
HEART_RATE,1.0,2025-08-09T15:43:07.000Z,139;69;129;112;120;139;100;92;119;119
HEART_RATE,1.0,2025-08-09T15:43:17.000Z,140;106;92;158;104;171;145;159;153;95
HEART_RATE,1.0,2025-08-09T15:43:27.000Z,100;112;173;184;132;124;140;126;131;112
HEART_RATE,1.0,2025-08-09T15:43:37.000Z,125;167;131;148;150;124;156;160;139;125
HEART_RATE,1.0,2025-08-09T15:43:47.000Z,131;160;140;133;101;115;133;123;126;111
HEART_RATE,1.0,2025-08-09T15:43:57.000Z,167;121;134;130;94;113;102;169;166;151
HEART_RATE,1.0,2025-08-09T15:44:07.000Z,141;119;82;123;167;119;144;119;133;138
HEART_RATE,1.0,2025-08-09T15:44:17.000Z,152;148;107;95;122;131;147;121;147;162
HEART_RATE,1.0,2025-08-09T15:44:27.000Z,138;114;82;137;138;100;142;141;160;132
HEART_RATE,1.0,2025-08-09T15:44:37.000Z,185;141;152;115;161;159;85;113;96;128
