timestamp,heart_rate,confidence
2025-08-08 15:11:40,65,0.892
2025-08-08 15:11:41,65,0.958
2025-08-08 15:11:42,59,0.852
2025-08-08 15:11:43,61,0.943
2025-08-08 15:11:44,60,0.920
2025-08-08 15:11:45,59,0.886
2025-08-08 15:11:46,60,0.879
2025-08-08 15:11:47,58,0.870
2025-08-08 15:11:48,58,0.875
2025-08-08 15:11:49,59,0.948
2025-08-08 15:11:50,60,0.956
2025-08-08 15:11:51,64,0.910
2025-08-08 15:11:52,60,0.856
2025-08-08 15:11:53,64,0.985
2025-08-08 15:11:54,54,0.875
2025-08-08 15:11:55,60,0.891
2025-08-08 15:11:56,60,0.929
2025-08-08 15:11:57,70,0.872
2025-08-08 15:11:58,58,0.967
2025-08-08 15:11:59,63,0.970
2025-08-08 15:12:00,54,0.899
2025-08-08 15:12:01,60,0.858
2025-08-08 15:12:02,60,0.962
2025-08-08 15:12:03,66,0.924
2025-08-08 15:12:04,56,0.909
2025-08-08 15:12:05,55,0.885
2025-08-08 15:12:06,51,0.957
2025-08-08 15:12:07,58,0.930
2025-08-08 15:12:08,60,0.923
2025-08-08 15:12:09,57,0.927
2025-08-08 15:12:10,56,0.973
2025-08-08 15:12:11,52,0.904
2025-08-08 15:12:12,69,0.862
2025-08-08 15:12:13,58,0.971
2025-08-08 15:12:14,58,0.929
2025-08-08 15:12:15,58,0.899
2025-08-08 15:12:16,63,0.887
2025-08-08 15:12:17,58,0.872
2025-08-08 15:12:18,60,0.979
2025-08-08 15:12:19,58,0.934
2025-08-08 15:12:20,58,0.945
2025-08-08 15:12:21,58,0.944
2025-08-08 15:12:22,59,0.852
2025-08-08 15:12:23,63,0.897
2025-08-08 15:12:24,67,0.994
2025-08-08 15:12:25,55,0.855
2025-08-08 15:12:26,56,0.980
2025-08-08 15:12:27,63,0.891
2025-08-08 15:12:28,61,0.889
2025-08-08 15:12:29,64,0.928
2025-08-08 15:12:30,61,0.988
2025-08-08 15:12:31,58,0.948
2025-08-08 15:12:32,55,0.879
2025-08-08 15:12:33,66,0.888
2025-08-08 15:12:34,57,0.981
2025-08-08 15:12:35,60,0.851
2025-08-08 15:12:36,63,0.915
2025-08-08 15:12:37,54,0.964
2025-08-08 15:12:38,59,0.949
2025-08-08 15:12:39,61,0.855
2025-08-08 15:12:40,59,0.880
2025-08-08 15:12:41,59,0.854
2025-08-08 15:12:42,61,0.973
2025-08-08 15:12:43,55,0.959
2025-08-08 15:12:44,60,0.959
2025-08-08 15:12:45,63,0.955
2025-08-08 15:12:46,54,0.903
2025-08-08 15:12:47,52,0.851
2025-08-08 15:12:48,63,0.940
2025-08-08 15:12:49,63,0.865
2025-08-08 15:12:50,66,0.999
2025-08-08 15:12:51,57,0.925
2025-08-08 15:12:52,60,0.958
2025-08-08 15:12:53,61,0.992
2025-08-08 15:12:54,58,0.910
2025-08-08 15:12:55,65,0.869
2025-08-08 15:12:56,61,0.889
2025-08-08 15:12:57,58,0.863
2025-08-08 15:12:58,54,0.890
2025-08-08 15:12:59,48,0.908
2025-08-08 15:13:00,58,0.990
2025-08-08 15:13:01,58,0.873
2025-08-08 15:13:02,60,0.917
2025-08-08 15:13:03,60,0.956
2025-08-08 15:13:04,60,0.885
2025-08-08 15:13:05,67,0.981
2025-08-08 15:13:06,58,0.922
2025-08-08 15:13:07,50,0.989
2025-08-08 15:13:08,61,0.983
2025-08-08 15:13:09,65,0.884
2025-08-08 15:13:10,54,0.919
2025-08-08 15:13:11,68,0.995
2025-08-08 15:13:12,56,0.957
2025-08-08 15:13:13,57,0.919
2025-08-08 15:13:14,56,0.927
2025-08-08 15:13:15,60,0.954
2025-08-08 15:13:16,59,0.911
2025-08-08 15:13:17,59,0.927
2025-08-08 15:13:18,61,0.876
2025-08-08 15:13:19,66,0.917
2025-08-08 15:13:20,65,0.949
2025-08-08 15:13:21,61,0.957
2025-08-08 15:13:22,61,0.859
2025-08-08 15:13:23,64,0.907
2025-08-08 15:13:24,59,0.858
2025-08-08 15:13:25,62,0.882
2025-08-08 15:13:26,57,0.976
2025-08-08 15:13:27,65,0.936
2025-08-08 15:13:28,59,0.945
2025-08-08 15:13:29,61,0.991
2025-08-08 15:13:30,53,0.967
2025-08-08 15:13:31,50,1.000
2025-08-08 15:13:32,62,0.973
2025-08-08 15:13:33,63,0.865
2025-08-08 15:13:34,62,0.986
2025-08-08 15:13:35,62,0.933
2025-08-08 15:13:36,58,0.940
2025-08-08 15:13:37,65,0.951
2025-08-08 15:13:38,54,0.964
2025-08-08 15:13:39,62,0.887
2025-08-08 15:13:40,57,0.938
2025-08-08 15:13:41,68,0.861
2025-08-08 15:13:42,56,0.898
2025-08-08 15:13:43,63,0.944
2025-08-08 15:13:44,62,0.894
2025-08-08 15:13:45,59,0.855
2025-08-08 15:13:46,62,0.955
2025-08-08 15:13:47,53,0.884
2025-08-08 15:13:48,51,0.867
2025-08-08 15:13:49,58,0.975
2025-08-08 15:13:50,56,0.933
2025-08-08 15:13:51,62,0.937
2025-08-08 15:13:52,58,0.928
2025-08-08 15:13:53,56,0.933
2025-08-08 15:13:54,56,0.992
2025-08-08 15:13:55,63,0.885
2025-08-08 15:13:56,58,0.902
2025-08-08 15:13:57,59,0.928
2025-08-08 15:13:58,60,0.930
2025-08-08 15:13:59,60,0.870
2025-08-08 15:14:00,62,0.974
2025-08-08 15:14:01,60,0.922
2025-08-08 15:14:02,64,0.860
2025-08-08 15:14:03,62,0.923
2025-08-08 15:14:04,58,0.968
2025-08-08 15:14:05,54,0.936
2025-08-08 15:14:06,63,0.900
2025-08-08 15:14:07,64,0.869
2025-08-08 15:14:08,58,0.881
2025-08-08 15:14:09,63,0.862
2025-08-08 15:14:10,61,0.857
2025-08-08 15:14:11,59,0.908
2025-08-08 15:14:12,65,0.886
2025-08-08 15:14:13,56,0.977
2025-08-08 15:14:14,58,0.876
2025-08-08 15:14:15,60,0.850
2025-08-08 15:14:16,59,0.991
2025-08-08 15:14:17,61,0.918
2025-08-08 15:14:18,55,0.979
2025-08-08 15:14:19,64,0.900
2025-08-08 15:14:20,60,0.972
2025-08-08 15:14:21,54,0.934
2025-08-08 15:14:22,62,0.990
2025-08-08 15:14:23,58,0.922
2025-08-08 15:14:24,58,0.994
2025-08-08 15:14:25,57,0.954
2025-08-08 15:14:26,57,0.979
2025-08-08 15:14:27,56,0.956
2025-08-08 15:14:28,57,0.858
2025-08-08 15:14:29,59,0.908
2025-08-08 15:14:30,63,0.959
2025-08-08 15:14:31,55,0.993
2025-08-08 15:14:32,60,0.984
2025-08-08 15:14:33,61,0.899
2025-08-08 15:14:34,56,0.943
2025-08-08 15:14:35,61,0.859
2025-08-08 15:14:36,56,0.929
2025-08-08 15:14:37,57,0.886
2025-08-08 15:14:38,60,0.938
2025-08-08 15:14:39,60,0.905
2025-08-08 15:14:40,59,0.854
2025-08-08 15:14:41,65,0.916
2025-08-08 15:14:42,54,0.856
2025-08-08 15:14:43,53,0.925
2025-08-08 15:14:44,63,0.921
2025-08-08 15:14:45,55,0.957
2025-08-08 15:14:46,66,0.963
2025-08-08 15:14:47,49,0.932
2025-08-08 15:14:48,57,0.867
2025-08-08 15:14:49,58,0.959
2025-08-08 15:14:50,56,0.946
2025-08-08 15:14:51,57,0.942
2025-08-08 15:14:52,59,0.876
2025-08-08 15:14:53,56,0.929
2025-08-08 15:14:54,58,0.964
2025-08-08 15:14:55,58,0.929
2025-08-08 15:14:56,60,0.972
2025-08-08 15:14:57,61,0.901
2025-08-08 15:14:58,64,0.966
2025-08-08 15:14:59,56,0.989
2025-08-08 15:15:00,62,0.853
2025-08-08 15:15:01,59,0.900
2025-08-08 15:15:02,67,0.933
2025-08-08 15:15:03,59,0.906
2025-08-08 15:15:04,53,0.896
2025-08-08 15:15:05,56,0.995
2025-08-08 15:15:06,59,0.989
2025-08-08 15:15:07,59,0.911
2025-08-08 15:15:08,61,0.856
2025-08-08 15:15:09,61,0.965
2025-08-08 15:15:10,52,0.910
2025-08-08 15:15:11,59,0.872
2025-08-08 15:15:12,62,0.893
2025-08-08 15:15:13,64,0.900
2025-08-08 15:15:14,59,0.894
2025-08-08 15:15:15,55,0.958
2025-08-08 15:15:16,52,0.850
2025-08-08 15:15:17,59,0.969
2025-08-08 15:15:18,66,0.912
2025-08-08 15:15:19,60,0.945
2025-08-08 15:15:20,66,0.980
2025-08-08 15:15:21,60,0.868
2025-08-08 15:15:22,53,0.983
2025-08-08 15:15:23,65,0.889
2025-08-08 15:15:24,59,0.925
2025-08-08 15:15:25,58,0.994
2025-08-08 15:15:26,60,0.976
2025-08-08 15:15:27,66,0.861
2025-08-08 15:15:28,55,0.999
2025-08-08 15:15:29,56,0.856
2025-08-08 15:15:30,55,0.935
2025-08-08 15:15:31,49,0.855
2025-08-08 15:15:32,60,0.901
2025-08-08 15:15:33,49,0.990
2025-08-08 15:15:34,58,0.931
2025-08-08 15:15:35,54,0.990
2025-08-08 15:15:36,67,0.886
2025-08-08 15:15:37,64,0.891
2025-08-08 15:15:38,60,0.934
2025-08-08 15:15:39,58,0.853
2025-08-08 15:15:40,61,0.970
2025-08-08 15:15:41,56,0.930
2025-08-08 15:15:42,56,0.939
2025-08-08 15:15:43,63,0.931
2025-08-08 15:15:44,62,0.927
2025-08-08 15:15:45,60,0.889
2025-08-08 15:15:46,59,0.895
2025-08-08 15:15:47,55,0.981
2025-08-08 15:15:48,61,0.931
2025-08-08 15:15:49,67,0.992
2025-08-08 15:15:50,63,0.998
2025-08-08 15:15:51,57,0.912
2025-08-08 15:15:52,56,0.891
2025-08-08 15:15:53,62,0.869
2025-08-08 15:15:54,57,0.969
2025-08-08 15:15:55,57,0.935
2025-08-08 15:15:56,56,0.897
2025-08-08 15:15:57,62,0.851
2025-08-08 15:15:58,57,0.976
2025-08-08 15:15:59,57,0.866
2025-08-08 15:16:00,59,0.977
2025-08-08 15:16:01,62,0.871
2025-08-08 15:16:02,62,0.910
2025-08-08 15:16:03,67,0.971
2025-08-08 15:16:04,61,0.902
2025-08-08 15:16:05,64,0.893
2025-08-08 15:16:06,64,0.988
2025-08-08 15:16:07,60,0.955
2025-08-08 15:16:08,61,0.983
2025-08-08 15:16:09,59,0.901
2025-08-08 15:16:10,61,0.864
2025-08-08 15:16:11,60,0.861
2025-08-08 15:16:12,59,0.992
2025-08-08 15:16:13,69,0.919
2025-08-08 15:16:14,62,0.854
2025-08-08 15:16:15,60,0.875
2025-08-08 15:16:16,52,0.904
2025-08-08 15:16:17,56,0.937
2025-08-08 15:16:18,65,0.912
2025-08-08 15:16:19,56,0.939
2025-08-08 15:16:20,54,0.918
2025-08-08 15:16:21,56,0.929
2025-08-08 15:16:22,61,0.924
2025-08-08 15:16:23,59,0.872
2025-08-08 15:16:24,65,0.905
2025-08-08 15:16:25,62,0.936
2025-08-08 15:16:26,51,0.984
2025-08-08 15:16:27,62,0.880
2025-08-08 15:16:28,62,0.851
2025-08-08 15:16:29,61,0.858
2025-08-08 15:16:30,67,0.872
2025-08-08 15:16:31,60,0.958
2025-08-08 15:16:32,58,0.958
2025-08-08 15:16:33,59,0.889
2025-08-08 15:16:34,56,0.906
2025-08-08 15:16:35,60,0.964
2025-08-08 15:16:36,62,0.865
2025-08-08 15:16:37,57,0.973
2025-08-08 15:16:38,58,0.959
2025-08-08 15:16:39,58,0.884
2025-08-08 15:16:40,54,0.884
2025-08-08 15:16:41,62,0.963
2025-08-08 15:16:42,57,0.918
2025-08-08 15:16:43,64,0.922
2025-08-08 15:16:44,57,0.915
2025-08-08 15:16:45,64,0.901
2025-08-08 15:16:46,53,0.864
2025-08-08 15:16:47,59,0.980
2025-08-08 15:16:48,55,0.898
2025-08-08 15:16:49,57,0.887
2025-08-08 15:16:50,65,0.998
2025-08-08 15:16:51,61,0.977
2025-08-08 15:16:52,53,0.913
2025-08-08 15:16:53,62,0.940
2025-08-08 15:16:54,55,0.954
2025-08-08 15:16:55,55,0.969
2025-08-08 15:16:56,56,0.970
2025-08-08 15:16:57,62,0.882
2025-08-08 15:16:58,59,0.973
2025-08-08 15:16:59,64,0.941
2025-08-08 15:17:00,58,0.924
2025-08-08 15:17:01,58,0.896
2025-08-08 15:17:02,62,0.964
2025-08-08 15:17:03,62,0.975
2025-08-08 15:17:04,57,0.874
2025-08-08 15:17:05,61,0.937
2025-08-08 15:17:06,61,0.960
2025-08-08 15:17:07,56,0.883
2025-08-08 15:17:08,59,0.993
2025-08-08 15:17:09,56,0.927
2025-08-08 15:17:10,61,0.917
2025-08-08 15:17:11,58,0.909
2025-08-08 15:17:12,56,0.933
2025-08-08 15:17:13,58,0.859
2025-08-08 15:17:14,54,0.862
2025-08-08 15:17:15,57,0.899
2025-08-08 15:17:16,58,0.916
2025-08-08 15:17:17,60,0.994
2025-08-08 15:17:18,57,0.914
2025-08-08 15:17:19,57,0.960
2025-08-08 15:17:20,57,0.980
2025-08-08 15:17:21,64,0.955
2025-08-08 15:17:22,61,0.941
2025-08-08 15:17:23,64,0.893
2025-08-08 15:17:24,60,0.947
2025-08-08 15:17:25,60,0.866
2025-08-08 15:17:26,62,0.918
2025-08-08 15:17:27,55,0.885
2025-08-08 15:17:28,58,0.901
2025-08-08 15:17:29,61,0.922
2025-08-08 15:17:30,62,0.964
2025-08-08 15:17:31,58,0.977
2025-08-08 15:17:32,62,0.876
2025-08-08 15:17:33,63,0.983
2025-08-08 15:17:34,62,0.993
2025-08-08 15:17:35,57,0.891
2025-08-08 15:17:36,56,0.947
2025-08-08 15:17:37,60,0.920
2025-08-08 15:17:38,65,0.981
2025-08-08 15:17:39,60,0.887
2025-08-08 15:17:40,56,0.853
2025-08-08 15:17:41,58,0.893
2025-08-08 15:17:42,63,0.881
2025-08-08 15:17:43,59,0.982
2025-08-08 15:17:44,66,0.939
2025-08-08 15:17:45,55,0.869
2025-08-08 15:17:46,63,0.955
2025-08-08 15:17:47,59,0.917
2025-08-08 15:17:48,68,0.966
2025-08-08 15:17:49,59,0.898
2025-08-08 15:17:50,65,0.852
2025-08-08 15:17:51,61,0.961
2025-08-08 15:17:52,53,0.893
2025-08-08 15:17:53,55,0.890
2025-08-08 15:17:54,57,0.850
2025-08-08 15:17:55,54,0.991
2025-08-08 15:17:56,61,0.869
2025-08-08 15:17:57,58,0.931
2025-08-08 15:17:58,62,0.955
2025-08-08 15:17:59,57,0.863
2025-08-08 15:18:00,67,0.948
2025-08-08 15:18:01,62,0.893
2025-08-08 15:18:02,56,0.897
2025-08-08 15:18:03,60,0.941
2025-08-08 15:18:04,50,0.941
2025-08-08 15:18:05,64,0.888
2025-08-08 15:18:06,56,0.944
2025-08-08 15:18:07,58,0.950
2025-08-08 15:18:08,68,0.932
2025-08-08 15:18:09,58,0.897
2025-08-08 15:18:10,61,0.910
2025-08-08 15:18:11,60,0.930
2025-08-08 15:18:12,57,0.937
2025-08-08 15:18:13,60,0.970
2025-08-08 15:18:14,59,0.966
2025-08-08 15:18:15,58,0.913
2025-08-08 15:18:16,62,0.957
2025-08-08 15:18:17,68,0.946
2025-08-08 15:18:18,63,0.936
2025-08-08 15:18:19,60,0.862
2025-08-08 15:18:20,62,0.964
2025-08-08 15:18:21,58,0.905
2025-08-08 15:18:22,55,0.869
2025-08-08 15:18:23,57,0.961
2025-08-08 15:18:24,64,0.949
2025-08-08 15:18:25,58,0.932
2025-08-08 15:18:26,62,0.910
2025-08-08 15:18:27,58,0.953
2025-08-08 15:18:28,63,0.922
2025-08-08 15:18:29,56,0.894
2025-08-08 15:18:30,58,0.867
2025-08-08 15:18:31,62,0.962
2025-08-08 15:18:32,59,0.963
2025-08-08 15:18:33,57,0.852
2025-08-08 15:18:34,60,0.884
2025-08-08 15:18:35,63,0.959
2025-08-08 15:18:36,58,0.943
2025-08-08 15:18:37,58,0.969
2025-08-08 15:18:38,61,0.884
2025-08-08 15:18:39,56,0.981
2025-08-08 15:18:40,59,0.865
2025-08-08 15:18:41,63,0.918
2025-08-08 15:18:42,64,0.933
2025-08-08 15:18:43,61,0.966
2025-08-08 15:18:44,62,0.935
2025-08-08 15:18:45,58,0.964
2025-08-08 15:18:46,56,0.988
2025-08-08 15:18:47,58,0.998
2025-08-08 15:18:48,59,0.954
2025-08-08 15:18:49,56,0.911
2025-08-08 15:18:50,56,0.996
2025-08-08 15:18:51,53,0.911
2025-08-08 15:18:52,59,0.895
2025-08-08 15:18:53,58,0.915
2025-08-08 15:18:54,60,0.942
2025-08-08 15:18:55,66,0.887
2025-08-08 15:18:56,58,0.883
2025-08-08 15:18:57,59,0.885
2025-08-08 15:18:58,60,0.890
2025-08-08 15:18:59,55,0.920
2025-08-08 15:19:00,66,0.967
2025-08-08 15:19:01,63,0.855
2025-08-08 15:19:02,63,0.892
2025-08-08 15:19:03,65,0.990
2025-08-08 15:19:04,61,0.928
2025-08-08 15:19:05,55,0.921
2025-08-08 15:19:06,57,0.897
2025-08-08 15:19:07,57,0.936
2025-08-08 15:19:08,57,0.981
2025-08-08 15:19:09,57,0.893
2025-08-08 15:19:10,60,0.937
